"Condition","Obs_InsP6","Obs_InsP75","Obs_InsP75_1O","Obs_InsP75_2O","Obs_InsP8","Obs_InsP8_1O","Obs_InsP8_2O","Obs_InsP71","Obs_InsP71_1O","Obs_InsP71_2O","Obs_ratio_0O","Obs_ratio_1O","Obs_ratio_2O","Obs_ratio_3O","time"
"HCT116_18O_Water_high","14.9441769776806","0.301568922076046","0.154657580125238","0.193047014569208","0.001478960041978","0.000734996493344","0.034437664181678","0.08129603210676","0.081056592786111","0.112266684084498","0.389403147669494","0.343171207714559","0.205500528716811","0.061925115899136",5
"HCT116_18O_Water_high","16.483115013477","0.275540044452489","0.16471608153541","0.204059358656886","0.001569872746791","0.000843955429974","0.036544658686294","0.086331043006451","0.098722462174593","0.106367201405115","0.394547231745722","0.362072410168283","0.183739872929353","0.059640485156642",5
"HCT116_18O_Water_high","34.809853541835","0.495089969784752","0.462539363345903","0.397827565523654","0.004016937505611","0.00369327162066","0.044105564872333","0.145929815372808","0.181709662050937","0.183064827299712","0.306454246339669","0.372605991933808","0.228462592338277","0.092477169388245",10
"HCT116_18O_Water_high","42.3763461312104","0.419887656036025","0.461529048013157","0.42001187012775","0.002617171367995","0.002807608860883","0.03905899303665","0.132101350656118","0.179866245359661","0.194226054857917","0.271274589299054","0.401112002219522","0.232985476809045","0.094627931672379",10
"HCT116_18O_Water_high","39.5397265136428","0.400005177600452","0.413006363713848","0.360999444434609","0.002948496132851","0.002731613919616","0.039894685973986","0.11243610317508","0.131952767859661","0.150672689103219","0.269213389617972","0.40725907047158","0.232530905939936","0.090996633970512",10
"HCT116_18O_Water_high","41.8353399409088","0.397596357065934","0.569474575051839","0.540814898071433","0.003480871600406","0.00390010533213","0.044511292806","0.143150926373185","0.197856561365911","0.1969239237438","0.228194435859534","0.371707549588554","0.274909631802047","0.125188382749864",15
"HCT116_18O_Water_high","44.8826762552613","0.325907526839301","0.460589408999983","0.430206313328208","0.004687754549517","0.004823570148674","0.049334766032364","0.106891461430874","0.160697961728896","0.174527436095496","0.214128452330273","0.37974434316438","0.281701746377806","0.124425458127541",15
"HCT116_18O_Water_high","36.2148149552199","0.340481880791503","0.485675092689795","0.430988771628578","0.003080185025178","0.002237176314237","0.041106532485956","0.103169695637265","0.147794495202157","0.158664658176126","0.224823462948572","0.378790525758259","0.276340855979991","0.120045155313178",15
"HCT116_18O_Water_high","41.8343237072558","0.322448746840585","0.546396591527596","0.524462889489215","0.005859659749642","0.019155676153357","0.064597684330226","0.190836492252922","0.290901656113335","0.303064165302166","0.174940743408902","0.369604883534623","0.313914401569165","0.141539971487309",30
"HCT116_18O_Water_high","38.0300429227071","0.304284278496307","0.526802421155377","0.506369883914784","0.00486331108843","0.013225550295271","0.05897572589419","0.142445756857609","0.261515782354594","0.247966511670806","0.18240150255451","0.359277663881833","0.329922508979104","0.128398324584552",30
"HCT116_18O_Water_high","38.8295659532019","0.295501499750001","0.50673881935812","0.472339330665738","0.004307844147011","0.010222470983762","0.048352732338014","0.14440378527057","0.224382895697517","0.2428138742469","0.176657063685185","0.372307230850968","0.317472559753263","0.133563145710584",30
"HCT116_18O_Water_high","35.0340514927692","0.375782403451097","0.691477963329118","0.631004240364212","0.010353223525226","0.041856743777491","0.111994466251003","0.328964363705507","0.680269035648788","0.532300141786059","0.166277070571208","0.374247305409861","0.319429864364469","0.140045759654462",60
"HCT116_18O_Water_high","38.8439621660926","0.415622956593495","0.767780523851448","0.705857250009626","0.014826573529308","0.053738326319184","0.125630946018015","0.334682250432912","0.683963157908191","0.609255657189195","0.179128393150582","0.367868872893398","0.299357914884849","0.153644819071171",60
"HCT116_18O_Water_high","38.2260041258851","0.380268997243912","0.76234912703876","0.676233978212158","0.011503541260718","0.047724673095136","0.1180034576944","0.298718715010804","0.636850872498722","0.558749402885135","0.173286517689462","0.338932276005416","0.341198726213392","0.146582480091729",60
